City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,forster,-32.1667,152.5167,54.37,100,99,6.11,AU,1722813094
241,lomas de sargentillo,-1.8833,-80.0833,82.26,61,88,6.02,EC,1722813095
242,newman,37.3138,-121.0208,102.43,10,0,6.58,US,1722813095
243,sandy point town,17.35,-62.8333,84.47,82,0,20.47,KN,1722813095
244,tibanbang,6.6315,126.1055,81.19,80,98,3.96,PH,1722813095
245,hegang,47.4,130.3667,66.45,100,100,3.15,CN,1722813095
246,keflavik,64.0049,-22.5624,53.51,87,100,17.27,IS,1722813095
247,vlore,40.4667,19.4897,74.48,74,13,6.8,AL,1722813096
248,urangan,-25.3,152.9,66.04,66,53,7.67,AU,1722813096
249,morehead city,34.7229,-76.726,81.03,86,100,13.0,US,1722813096
250,kovel,51.2153,24.7087,67.06,53,100,4.14,UA,1722813096
251,carnarvon,-24.8667,113.6333,59.95,52,0,9.95,AU,1722813096
252,manacapuru,-3.2997,-60.6206,86.02,50,86,2.8,BR,1722813096
253,berber,18.0216,33.983,89.64,46,32,11.88,SD,1722813096
254,sitka,57.0531,-135.33,74.68,44,1,3.85,US,1722813097
255,broken hill,-31.95,141.4333,48.99,86,100,2.71,AU,1722813097
256,ardestan,33.3761,52.3694,86.5,17,0,4.65,IR,1722812834
257,dryden,49.7833,-92.7503,71.92,32,47,7.27,CA,1722813097
258,changping,40.2186,116.2197,74.84,77,36,4.45,CN,1722813097
259,afaahiti,-17.75,-149.2833,80.47,71,52,11.07,PF,1722813097
260,beledweyne,4.7358,45.2036,73.6,70,99,19.69,SO,1722813097
261,crane,31.3974,-102.3501,97.39,21,26,8.9,US,1722813098
262,dodoma,-6.1722,35.7395,63.3,57,2,7.09,TZ,1722813098
263,ilulissat,69.2167,-51.1,46.42,81,75,3.44,GL,1722813098
264,neryungri,56.6709,124.6491,55.35,99,100,1.59,RU,1722813098
265,cadale,2.7603,46.3222,76.33,76,68,19.08,SO,1722813098
266,usogorsk,63.4106,48.6872,59.22,88,99,5.86,RU,1722813098
267,salinas,36.6777,-121.6555,87.49,67,0,14.97,US,1722812942
268,fortuna,40.5982,-124.1573,62.98,89,75,10.36,US,1722813099
269,pisco,-13.7,-76.2167,62.65,77,0,10.36,PE,1722813099
270,kenai,60.5544,-151.2583,67.01,59,20,11.5,US,1722813099
271,ancud,-41.8697,-73.8203,46.29,93,100,15.14,CL,1722813099
272,arar,30.9753,41.0381,84.22,15,0,13.8,SA,1722813099
273,jining,35.405,116.5814,77.54,86,100,3.0,CN,1722813100
274,daru,-9.0763,143.2092,76.59,89,100,14.07,PG,1722813100
275,midvagur,62.0511,-7.1939,54.43,94,100,29.93,FO,1722813100
276,bambui,-20.0064,-45.9769,69.69,58,89,4.05,BR,1722813100
277,san jose del guaviare,2.5729,-72.6459,73.15,99,100,1.45,CO,1722813100
278,karlskrona,56.1616,15.5866,61.25,93,100,10.4,SE,1722813100
279,qaqortoq,60.7167,-46.0333,44.28,79,0,4.09,GL,1722813100
280,fort bragg,35.139,-79.006,79.2,87,0,8.05,US,1722813101
281,road town,18.4167,-64.6167,84.24,79,40,12.66,VG,1722813101
282,kudat,6.8837,116.8477,78.75,86,74,4.47,MY,1722813101
283,ribas do rio pardo,-20.4431,-53.7592,79.34,28,29,1.32,BR,1722813101
284,sao joao da barra,-21.6403,-41.0511,71.69,84,0,16.6,BR,1722813101
285,nikolayevsk-on-amure,53.1406,140.73,61.56,54,99,4.27,RU,1722813101
286,manismata,-2.4667,111.0333,69.37,98,41,2.86,ID,1722813102
287,taksimo,56.3444,114.8794,62.58,73,53,2.3,RU,1722813102
288,al mindak,20.1588,41.2834,73.0,71,92,2.26,SA,1722813102
289,igarka,67.4667,86.5833,45.0,73,2,13.49,RU,1722813102
290,cuajinicuilapa,16.4667,-98.4167,85.1,69,84,7.18,MX,1722813102
291,arauca,7.0847,-70.7591,77.72,90,93,2.46,CO,1722813102
292,siwa oasis,29.2041,25.5195,87.03,31,19,8.19,EG,1722813102
293,la reforma,25.0833,-108.05,89.2,64,46,9.24,MX,1722813103
294,ercis,39.0287,43.3586,69.12,50,0,5.59,TR,1722813103
295,puerto deseado,-47.7503,-65.8938,40.39,93,96,15.88,AR,1722813103
296,gadzhiyevo,69.2551,33.3362,45.27,89,2,2.28,RU,1722813103
297,kayangel,8.0823,134.7173,83.75,74,96,12.03,PW,1722813103
298,xinyuan,37.3,99.0,42.78,91,1,3.62,CN,1722813103
299,karratha,-20.7377,116.8463,61.05,66,0,14.65,AU,1722813103
300,kolwezi,-10.7148,25.4667,60.06,26,2,5.1,CD,1722813104
301,mount pearl,47.5166,-52.7813,70.45,94,100,11.5,CA,1722813104
